date,status,gap,seconds,planned_cost_yuan,theta,day_end_soc_kwh
2025-06-08,0,3.7520029229587683e-16,0.02885166800024308,57047.17180851425,56740.28394830162,8700.0
2025-06-09,0,2.531551791236514e-16,0.028629523999825324,56061.23693847931,56336.52828865824,8700.0
2025-06-10,0,5.049630340242199e-16,0.038013624000086566,56416.75999730384,56335.57717375664,8700.0
2025-06-11,0,0.0,0.037142221000067366,56708.48577244214,56863.20845451142,8700.0
2025-06-12,0,5.142707665344545e-16,0.028956496999853698,57072.37370852595,25342.0063107288,7200.000000000011
2025-06-13,0,0.0,0.13647381600003428,25720.610111791742,25640.36976160841,7199.999999999988
2025-06-14,0,0.0,0.11938514500025121,26473.056612223685,59621.3255621194,8700.0
2025-06-15,0,1.2075406389937594e-16,0.028882124000119802,59181.10219359331,58874.35519549266,8700.0
2025-06-16,0,3.6487545008129395e-16,0.030826086000161013,58749.039267547196,58525.90837124166,8700.0
2025-06-17,0,0.0,0.029212913000264962,57631.332235070695,58046.56070579453,8700.0
2025-06-18,0,1.2257782092004042e-16,0.02930770599959942,57649.91437640875,58123.6640670066,8700.0
2025-06-19,0,0.0,0.0835031120000167,55289.59881744805,25511.59052652,5999.999999999995
2025-06-20,0,0.0,0.07338192899987916,23445.48420292219,25277.42405470051,4800.000000000012
2025-06-21,0,0.0,0.08346265199998015,24719.984593806636,54457.788702192855,8700.0
2025-06-22,0,0.0,0.03006402600021829,52444.14166445231,51664.74066993954,8700.0
2025-06-23,0,0.0,0.07537211499993646,51965.94625465989,51113.87173816201,8700.0
2025-06-24,0,0.0,0.07358477500019944,51023.298229674285,50290.41465541164,8700.0
2025-06-25,0,0.0,0.045118438999907085,51584.598221626686,51322.15286467453,8700.0
2025-06-26,0,0.0,0.07598372300026313,48227.651042811485,22094.3387146512,2400.000000000002
2025-06-27,0,0.0,0.08219886500000939,20730.733143256606,21838.208593371823,2400.0
2025-06-28,0,0.0,0.07146441799977765,23488.178114166025,49795.9069286337,8700.0
2025-06-29,0,2.8142825257025703e-16,0.030568096000024525,50386.76788235803,50017.49422316314,8700.0
2025-06-30,0,0.0,0.08147952099989197,50802.94886792186,50192.056166677954,8700.0
2025-07-01,0,0.0,0.028763786000126856,50958.12100439012,50332.90121588656,8700.0
2025-07-02,0,0.0,0.08211281500007317,49704.371229102595,49965.103427768256,8700.0
2025-07-03,0,0.0,0.06710600499991415,46332.068560206724,22624.091274484497,2400.0000000000005
2025-07-04,0,0.0,0.08643492300006983,22369.74918392929,23780.128802078492,2399.9999999999986
2025-07-05,0,0.0,0.15982269100004487,26399.243736932814,50349.73415442963,8700.0
2025-07-06,0,0.0,0.05838020300006974,50833.88580539536,50061.64469658515,8700.0
2025-07-07,0,0.0,0.057848564999858354,51562.06250314568,55334.653286165114,8700.0
2025-07-08,0,0.0,0.05694084599963389,54874.92273016455,54081.25773570725,8700.0
2025-07-09,0,0.0,0.055567614999745274,54464.11180483099,53590.72005962761,8700.0
2025-07-10,0,0.0,0.06244652999976097,52126.64572258182,28433.862443466456,2399.9999999999986
2025-07-11,0,0.0,0.08213433299988537,27835.135380712993,28472.983022269218,2400.0
2025-07-12,0,0.0,0.09035231599955296,30921.0855768185,53862.94398510318,8700.0
2025-07-13,0,0.0,0.05961584099986794,55476.55649246649,54372.97967326382,8700.0
