date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan
2025-07-18,1,48349.179943259005,65.38355250690881,48414.56349576591,29181.384326450647,286.2171118574606,29467.60143830811,14277.342307177187,11564.647268813567,14427.620357402291,3,1,31.90292342977466,2,1957.065550348731,3599.9999999999995,3599.999999999949,39137.25627957992,9669.654841271808
2025-07-19,1,53643.236333789544,1.6454507171995374,53644.881784506746,31282.993190078425,3.5928416410051898,31286.58603171943,19808.93722662507,11455.23915356626,18108.364661447937,1,1,0.0,0,2389.672046822891,3599.999999999949,8700.0,36329.326862572234,5042.740830852803
2025-07-20,1,87900.35850109266,149.69660670106947,88050.05510779373,55615.25239317815,495.25829352137436,56110.51068669952,22017.930858811294,17834.52399563715,11776.670027952927,6,1,88.7298734194344,2,3565.8184205412363,8700.0,8700.0,62359.9900047369,6249.479318037382
2025-07-21,1,87615.57466695528,246.0878673124236,87861.6625342677,55305.56425006065,1032.036359679018,56337.60060973967,21805.560740600158,17662.50419988613,9728.856643553665,13,1,44.40270275505736,4,3255.9407497039106,8700.0,8700.0,66477.91271397482,10140.312104235149
2025-07-22,1,90299.57065429755,404.64875997123727,90704.2194142688,57203.46219430966,1779.6989067385541,58983.161101048216,22481.376693079917,18209.915121394733,12637.613225916943,6,1,146.05232880078233,1,3604.7108074107496,8700.0,8700.0,62023.75175026675,3040.5906492185313
2025-07-23,1,89882.2903824489,263.5394301477643,90145.82981259667,56812.5059527918,1231.0813876935654,58043.58734048536,22466.20152998515,18197.623239287972,11660.704405232833,11,1,0.0,0,3811.3900481068936,8700.0,8700.0,61882.62825564621,3839.0409151608474
2025-07-24,1,84162.12649392549,582.9527016346136,84745.0791955601,54543.24046749421,2488.9542517169507,57032.19471921116,16950.107652246505,18319.587198319692,12498.086741633299,10,1,310.8631202291647,4,4929.436569355929,8700.0,3599.999999999974,62882.23187469009,5850.037155478931
2025-07-25,1,46585.09480501059,62.456848697197096,46647.551653707786,27923.03075536369,226.36642937154994,28149.397184735237,14309.347385322844,11590.571382111479,17423.45608382975,3,1,0.0,0,2237.8816748201075,3599.999999999974,3600.0,28144.393428460855,-5.003756274381885
2025-07-26,1,51991.9368542065,131.73610798131318,52123.67296218781,30246.413791648727,317.097863712091,30563.511655360817,19638.189806193597,11316.933743016816,15333.32533234436,7,1,53.37112855074906,2,1699.8925263905683,3600.0,8700.0,31264.26804169198,700.7563863311625
2025-07-27,1,87126.95969861052,760.5380160481646,87887.49771465868,54973.301381082085,3315.5391641557894,58288.84054523787,22438.79772851879,18175.42616010022,9938.936346240107,22,1,18.29378476303212,2,2017.0034783101162,8700.0,8700.0,62265.09132832761,3976.2507830897375
2025-07-28,1,87515.76796332424,1167.2782147134017,88683.04617803764,55279.05115080578,4148.921356819644,59427.972507625425,22462.8527964657,18194.910765137214,6460.226913375823,33,1,711.3882940725266,15,2123.281569476248,8700.0,8700.0,71639.19956036261,12211.227052737187
2025-07-29,1,89979.59451313267,663.2328119066419,90642.82732503931,56978.897406655306,2529.9202434912804,59508.817650146586,22521.336344212887,18242.28243881244,10294.527469638862,13,1,280.5865336378848,4,3008.2641179854472,8700.0,8700.0,62743.708082739875,3234.890432593289
2025-07-30,1,90102.05231694649,84.63782315906218,90186.69014010555,57041.15633021327,348.80677875164724,57389.96310896492,22358.563584918127,18110.436503783683,11835.309008971106,8,1,0.0,0,3962.450240042861,8700.0,8700.0,58109.0539209112,719.0908119462838
