date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan,same_risk_no_storage_cost_yuan
2025-03-13,1,73720.42494971643,2004.9944926653884,75725.41944238181,44857.9493932532,7985.5852209398645,52843.534614193064,22475.988975574153,18205.551070215068,3909.3635203560634,49,1,1019.0200992611813,21,1612.7350918335126,6000.000000000002,6000.0,57436.795496830084,4593.26088263702,62436.13823780029
2025-03-14,1,31864.833822374185,255.3682277997102,32120.202050173895,16578.24036374175,1030.0511514131092,17608.291515154855,16000.0,12960.0,13050.77606684056,21,1,44.19749983644476,4,747.4704512971629,6000.0,6000.0,19573.663002263234,1965.3714871083794,30019.439930934663
2025-03-15,1,31521.983470451945,626.8573786720046,32148.84084912395,16474.782888871938,2217.8018852041773,18692.584774076116,16008.997512363465,12967.287985014407,8183.00617177489,38,1,25.663204118963108,2,615.8659272586892,6000.0,6000.0,21274.855068380017,2582.2702943039003,31372.76755052291
2025-03-16,1,73315.15723364976,827.5421472881769,74142.69938093793,44462.913732851375,3278.233772467852,47741.147505319226,22315.686240040635,18075.705854432912,6551.672061996878,32,1,173.75266048916137,7,2623.30633559115,6000.0,6000.000000000002,46776.63229535205,-964.5152099671759,58277.145952644365
2025-03-17,1,72791.7808039537,201.88421843851668,72993.66502239222,44072.23411129029,759.7206534845001,44831.95476477479,22077.013434816796,17882.380882201604,10940.901036443702,14,1,10.622741101273066,2,4049.638676656701,6000.000000000002,6000.000000000005,43575.56593767492,-1256.3888270998723,55868.1197718617
2025-03-18,1,70226.31425253257,1175.7010934681243,71402.0153460007,42262.63677446655,5690.3920817426715,47953.02885620922,21463.333270015242,17385.299948712345,6198.023658031132,35,1,38.34965126990346,2,817.4079785610878,6000.000000000005,6000.000000000001,46028.47007274049,-1924.5587834687249,59191.33737172713
2025-03-19,1,70227.49464823755,673.2867931372541,70900.78144137481,42301.9326398458,3375.315434325578,45677.24807417138,21704.364986934375,17580.53563941684,7311.4816438572725,21,1,3.81541789709172,1,1271.0946492583614,6000.000000000001,6000.000000000002,43778.162096560955,-1899.0859776104262,57104.762655458464
2025-03-20,1,69885.79111179117,653.8562213355166,70539.64733312669,42210.97675705566,2542.349900326808,44753.326657382466,21842.874944473107,17692.728705023215,4180.539277010134,38,1,80.52939715658124,4,1028.1786940339903,6000.000000000002,6000.0,45646.08619984949,892.7595424670217,56330.319354730105
2025-03-21,1,30852.32182934973,363.03269414114675,31215.354523490878,15929.915975667343,1211.1415003293812,17141.057475996724,16000.000000000002,12959.999999999998,16141.890006824207,27,1,37.19805303329417,3,677.4287512050457,6000.0,6000.000000000002,17950.827080584324,809.7696045876,29606.642552947145
2025-03-22,1,31024.31749295866,394.35846392382405,31418.675956882485,16082.590640686465,1302.7309523563715,17385.321593042834,16000.0,12960.000000000002,12497.47622354915,22,1,154.09373748425514,5,813.1185609788888,6000.000000000002,6000.000000000002,19818.404380011692,2433.0827869688583,29104.348198827098
