date,reference_total_cost_yuan,joint_total_cost_yuan,v2b_total_cost_yuan,target_kwh,reference_soc_06_kwh,joint_soc_06_kwh
2025-09-29,57262.32596036023,51711.21382884237,48230.490406147874,9000.0,9000.0,9910.013445811583
2025-09-30,61300.92802447143,53471.72093686143,51002.823111413396,9000.0,9000.0,9940.062446082087
2025-10-01,53547.890443269986,48137.75038884403,45289.710485478754,9000.0,9000.0,9889.048415953854
2025-10-02,53244.52115606813,45749.5981320413,44723.40107482181,9000.0,9000.0,9882.350296800749
2025-10-03,38337.244513533224,28972.54771962549,18642.467081659484,9000.0,9000.0,9790.575105386673
2025-10-04,38980.72810139248,30119.446300653424,19380.937006763925,9000.0,9000.0,9850.033947999633
2025-10-05,51522.042316993895,44957.81758630394,43073.33840214922,9000.0,9000.0,9925.992226316328
2025-10-06,52055.331781849614,45269.647073730644,43342.210905924105,9000.0,9000.0,9911.035714494597
2025-10-07,54334.19595325511,45389.96843792128,43777.64629455323,9000.0,9000.0,9913.104183680183
2025-10-08,52505.85203211374,43230.14408053416,42703.62892033244,9000.0,9000.0,9910.024899507454
2025-10-09,50698.13089366368,43812.39358412095,41422.40594955348,9000.0,9000.0,9880.709494124123
2025-10-10,37373.62165954117,30671.046166802647,18363.442662101726,9000.0,9000.0,9816.19089108947
2025-10-11,36013.37543314292,30166.697086802295,17747.080697610178,9000.0,9000.0,9806.878409755253
2025-10-12,52144.10210931008,44528.75922260527,43908.95869894369,9000.0,9000.0,9920.36108193434
2025-10-13,50385.55532358822,44527.503492190954,42307.90053941898,9000.0,9000.0,9897.287705911596
2025-10-14,55939.981726103724,47015.04004465053,44831.054256239106,9000.0,9000.0,9903.726787580656
2025-10-15,58895.30623549784,51176.63527062698,49414.99484133155,9000.0,9000.0,9898.499825735216
2025-10-16,61566.46692033859,55657.130879496544,51137.35164918361,9000.0,9000.0,9910.149713333209
2025-10-17,37005.41520169867,31587.558689229296,19009.458807619638,9000.0,8999.999999999998,9790.964475340323
2025-10-18,36133.22680467429,31035.87904591832,18314.273329674746,9000.0,9000.0,9790.374941607814
2025-10-19,57983.20323495644,53477.78049493298,48464.98170293845,9000.0,9000.0,9895.740518688759
2025-10-20,60137.63332158991,50240.49095913716,49650.880373263535,9000.0,9000.0,9876.031139806408
2025-10-21,57978.64969617578,50027.75397482663,48005.953561520386,9000.0,9000.0,9843.504801032717
2025-10-22,63232.736476061895,54360.37769298724,52290.823862831254,9000.0,9000.0,9891.809133473076
2025-10-23,56534.94286375119,50893.02177101866,47756.57040567501,9000.0,9000.0,9922.9497624959
2025-10-24,38259.686168767985,32570.689409489114,20812.847654527057,9000.0,8999.999999999998,9687.944919350291
2025-10-25,36473.08967530252,31434.8049682682,19681.829430098354,9000.0,9000.000000000002,9700.656698963105
2025-10-26,56169.46451151814,50625.31285895212,47846.00564434623,9000.0,9000.0,9927.858373133891
2025-10-27,57304.689404428085,52556.070795084495,48713.73955735589,9000.0,9000.0,9913.336976678218
2025-10-28,57014.62063088888,51116.04038169901,48303.34328078767,9000.0,9000.0,9928.268805837026
2025-10-29,62512.96273387961,53734.41452594364,51966.23878433108,9000.0,9000.0,9900.466856494275
2025-10-30,56159.16919253123,50994.3832995304,48281.515107042425,9000.0,9000.0,9926.69716629381
2025-10-31,36598.645103606046,31730.05074162297,19890.536724147663,9000.0,9000.0,9745.999905917028
2025-11-01,35848.91212331817,30630.403759672336,19293.742318552282,9000.0,9000.0,9778.824086789824
2025-11-02,59456.48452096946,52647.730717259634,50276.25288716304,9000.0,9000.0,9902.00568383998
2025-11-03,59062.33066066048,52719.33663465994,50099.747814759154,9000.0,9000.0,9919.799280607098
2025-11-04,58635.92893197076,51961.698881498734,50522.18911586532,9000.0,9000.0,9897.940277850887
2025-11-05,58489.367822294116,52728.085666436404,50004.48337803807,9000.0,9000.0,9919.47341609276
