date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,difference_vs_v2b_yuan
2025-07-01,1,81689.74002553422,3304.403435674904,84994.14346120913,50966.47100439012,16074.92375481358,67041.3947592037,21848.34608296353,19459.3536559593,3738.607000871569,75,1,751.7387892692299,21,1352.9721241836337,7156.404430874742,5198.411843364916,69315.84854865528,-2274.4537894515815
2025-07-02,1,80056.66742540327,3914.9075322866906,83971.57495768995,49712.7212291026,17359.249184537097,67071.97041363969,20089.43465646768,16235.215614855291,7212.58954941091,70,1,570.8419925366125,16,930.7064634688774,5198.411843364916,5239.774573235513,67379.5841283976,-307.61371475791384
2025-07-03,1,79164.68271801175,6095.182884449033,85259.86560246079,49299.36856020673,29176.164229720885,78475.53278992762,21248.410692180354,17107.4244341474,1358.4604110945063,101,1,696.3817471819594,26,711.9559513977396,5239.774573235513,5355.094824922944,73472.73666575551,5002.796124172106
2025-07-04,1,39280.129381478764,3596.8143883570497,42876.943769835816,22581.21895089009,15415.736839494259,37996.955790384345,16086.043180843342,12903.0465839081,10813.079706233904,63,1,722.813379295208,25,660.9806678641938,5355.094824922944,5495.8152611174,33947.206559203776,4049.749231180569
2025-07-05,1,41092.367936492585,2930.2481050997962,44022.61604159238,23640.61882146831,13755.997923926423,37396.616745394735,16535.483385863743,13113.856623430273,11810.909312492246,66,1,933.4221331415782,25,714.338597264678,5495.8152611174,5806.798504583353,32396.349679760853,5000.267065633881
2025-07-06,1,81871.21950660317,5129.455723602819,87000.67523020599,50842.23580539536,27806.90149331516,78649.13729871051,22246.234080528197,17872.006838928133,2832.4664386059326,78,1,908.8290527454062,23,1324.7570856280954,5806.798504583353,5970.62380047192,72922.02945564956,5727.107843060949
2025-07-07,1,82686.63712048282,1430.9875942410154,84117.62471472383,51570.41250314568,5958.242261999782,57528.65476514546,20041.927671802507,16128.03595885455,6794.250235109207,49,1,761.4824872889724,23,1089.9925055242263,5970.62380047192,6088.318750811345,55389.819166666115,2138.835598479345
2025-07-08,1,87306.14622190202,1335.2406353053973,88641.38685720741,54883.27273016455,5902.9467316334585,60786.21946179801,22663.82179012119,17325.847191858516,7732.025242278077,50,1,632.3797916276573,22,818.1690958838576,6088.318750811345,7234.817037633175,58707.441585768654,2078.7778760293586
2025-07-09,1,86410.44165417916,1158.8935067800262,87569.33516095918,54472.461804830986,5259.671989069636,59732.133793900626,20775.217690981925,16654.024407230278,9389.416860540867,39,1,639.4706264010309,20,739.3011104365228,7234.817037633175,7428.041395927712,57402.13551807506,2329.9982758255646
2025-07-10,1,87057.58508988432,998.3883112543011,88055.97340113862,55093.945722581826,4896.9477683218865,59990.893490903705,20090.833911651873,16366.175134690655,11477.691240844071,34,1,243.28972085330818,12,837.5397556182211,7428.041395927712,7325.152877869229,55890.45804286673,4100.435448036973
2025-07-11,1,46786.485405984815,1184.662757304531,47971.14816328935,28009.598582210085,4539.615691563467,32549.214273773556,14957.899277179358,11996.069642409713,12490.541378519698,51,1,881.2163270251709,37,349.04154191153026,7325.152877869229,7458.295957986528,31715.37978870825,833.8344850653048
2025-07-12,1,47275.671977226324,1181.7510599063792,48457.42303713271,28131.65843886911,4285.04362086381,32416.702059732925,14129.316480608111,11580.826068953624,14824.689292144883,50,1,885.0528386253836,37,320.93496067339686,7458.295957986528,7307.096269474247,28538.67886715487,3878.0231925780536
2025-07-13,1,87953.70811166179,862.7649326433938,88816.47304430518,55484.90649246649,4265.022646988658,59749.92913945515,18646.15719667697,15099.785752989115,16002.38120061733,31,1,296.20001348391696,9,484.30205961310816,7307.096269474247,7311.098020940059,55819.19719693246,3930.7319425226888
2025-07-14,1,86463.96051382757,628.2782698747953,87092.23878370236,54462.49094671894,3080.9972154896245,57543.48816220857,18512.041085259087,15057.455451204803,11829.973932981413,29,1,216.55475814016884,12,792.8702070310004,7311.098020940059,7241.428940779007,55367.234315238034,2176.2538469705323
2025-07-15,1,90598.19592509556,940.8581511721486,91539.0540762677,57566.15917109538,3976.8681460765315,61543.02731717191,18791.97201334615,14106.974128499185,14105.0056080874,31,1,596.9734694875281,15,588.5049769396347,7241.428940779007,8479.788054458115,60473.67161555269,1069.3557016192208
2025-07-16,1,90062.87054451162,1167.3074522992902,91230.1779968109,56977.836887323756,5684.579952955523,62662.416840279286,17832.582520343534,14545.292292034695,15808.324385168738,35,1,619.1057193363073,20,969.4681636333712,8479.788054458115,8367.676442728743,58254.98896655612,4407.427873723165
2025-07-17,1,89770.88038327414,1039.3201724728815,90810.20055574703,56911.670047047824,5049.617960315188,61961.288007363015,19188.673674486272,15798.197024770905,14699.30783936499,33,1,252.84847982347276,11,787.2951515782147,8367.676442728743,8083.9305000209415,59556.02462014566,2405.2633872173537
2025-07-18,1,48678.71917395146,1043.8535190241207,49722.572692975584,29335.1565640438,4211.396686112709,33546.55325015651,13407.934559764815,10712.432009978755,15752.82204318952,50,1,719.9313231487237,36,395.2617657802715,8083.9305000209415,8248.369370499542,29540.250967329303,4006.302282827208
2025-07-19,1,48329.53826073074,1421.982652536989,49751.52091326773,29044.222362457236,5322.2326392461855,34366.45500170342,12589.835507324353,10698.011869958453,20676.878225901826,42,1,1102.2628620175599,32,390.9653037476732,8248.369370499542,7692.541471582069,29047.81520409824,5318.639797605181
