date,alpha,beta,base_purchase_kwh,safety_purchase_kwh,reserve_min_kwh,reserve_max_kwh,reserve_segments,end_soc_kwh
2025-10-01,0.7,0.0,72568.78156728618,0.0,1200.0,10043.038232989093,33,7891.686961065812
2025-10-02,0.7,0.0,70939.04728469945,0.0,1200.0,10037.23521820114,29,8067.952171352968
2025-10-03,0.7,0.0,33831.97668185288,0.0,1200.0,9929.957369679772,27,8180.8512601290595
2025-10-04,0.7,0.0,34251.98812793319,0.0,1200.0,9929.99006736678,26,8072.4552490757915
2025-10-05,0.7,0.0,68421.13425011456,0.0,1200.0,10016.717081829564,30,7747.3777550935565
2025-10-06,0.7,0.0,67949.68636111742,0.0,1200.0,9913.944551007211,27,7546.976299995947
2025-10-07,0.7,0.0,67681.1285868805,0.0,1200.0,9779.055546440339,27,7852.4400509818615
2025-10-08,0.7,0.0,65059.248360985155,0.0,1200.0,9896.257059699126,27,7014.182549957501
2025-10-09,0.7,0.0,65936.35573951121,0.0,1200.0,9908.83825616347,26,6890.190199018593
2025-10-10,0.7,0.0,32267.516010859,0.0,1200.0,9411.7453269718,27,6574.232250511891
2025-10-11,0.7,0.0,33225.58896201289,0.0,1200.0,9462.34139826649,28,6686.714718053961
2025-10-12,0.7,0.0,66155.79961200368,0.0,1200.0,9973.140318470883,27,6264.441097143296
2025-10-13,0.7,0.0,67121.0162205885,0.0,1200.0,9974.113083355483,28,6454.755575135961
2025-10-14,0.7,0.0,66751.13735450912,0.0,1200.0,10087.147219943006,28,6165.673156773461
2025-10-15,0.7,0.0,65708.93808814138,0.0,1200.0,10077.495180382532,28,6038.244474784768
2025-10-16,0.7,0.0,67133.43603469954,0.0,1200.0,10137.841921665486,30,6094.114305108857
2025-10-17,0.7,0.0,32325.114116812758,0.0,1200.0,9766.339607426149,30,5872.024996657969
2025-10-18,0.7,0.0,33048.95370492923,0.0,1200.0,10020.082336523616,28,6292.806471692535
2025-10-19,0.7,0.0,70779.89011979783,0.0,1200.0,10362.75700043668,28,6105.530956831892
2025-10-20,0.7,0.0,72196.77400627971,0.0,1200.0,10293.507094483386,27,6094.250781463225
2025-10-21,0.7,0.0,73410.1818111562,0.0,1200.0,10296.5481842078,30,6340.118040762264
2025-10-22,0.7,0.0,73488.73273402282,0.0,1200.0,10297.873440194406,31,5998.685407261263
2025-10-23,0.7,0.0,74457.66563827948,0.0,1200.0,10303.323177728062,31,6215.179044327252
2025-10-24,0.7,0.0,33325.49222261435,0.0,1200.0,10026.052593750846,30,6114.536817546973
2025-10-25,0.7,0.0,34019.462124301936,0.0,1200.0,10049.467540919128,29,6136.701460047009
2025-10-26,0.7,0.0,75651.00364098167,0.0,1200.0,10232.137640215815,29,6468.012459351904
2025-10-27,0.7,0.0,75888.47769727936,0.0,1200.0,10273.150228317685,30,6174.877758756927
2025-10-28,0.7,0.0,75954.58568210785,0.0,1200.0,10306.976353113318,27,6431.721578576567
2025-10-29,0.7,0.0,75186.89570548064,0.0,1200.0,10319.726417854326,28,6086.855980968402
2025-10-30,0.7,0.0,75656.5842419699,0.0,1200.0,10315.486498932703,27,6063.69784338105
2025-10-31,0.7,0.0,34561.501179229796,0.0,1200.0,10165.91478107604,31,6331.058930904682
2025-11-01,0.7,0.0,34873.740500507716,0.0,1200.0,10161.343469084686,30,6572.707608567594
