date,variant,control_issue_time,last_observation_end,initial_soc_kwh,innovation_kwh,objective_yuan,lower_bound_yuan,recovery_error,used_reference,reference_gap,removed_simultaneous_kwh,seconds
2025-04-25,C0,2025-04-25T15:00,2025-04-25T15:00,9442.272492846992,-52.20382045099916,388.5638047200183,388.5638047200183,0.0,1,0.0,0.0,0.006299299973761663
2025-04-25,C0,2025-04-25T16:00,2025-04-25T16:00,10654.384748724551,-73.75791317365861,388.5638047200183,388.5638047200182,1.1368683772161603e-13,1,1.1368683772161603e-13,0.0,0.005751299991970882
2025-04-25,C0,2025-04-25T17:00,2025-04-25T17:00,10800.0,1.089479637492441,332.67225211541535,332.6722521154153,5.684341886080802e-14,1,5.684341886080802e-14,0.0,0.0056773999822326005
2025-04-25,C0,2025-04-25T18:00,2025-04-25T18:00,10071.002751047026,-13.195886483788172,272.07392684169025,272.07392684169,2.2737367544323206e-13,1,2.2737367544323206e-13,0.0,0.0045387000136543065
2025-04-25,C0,2025-04-25T19:00,2025-04-25T19:00,7037.506911545379,5.516939822909023,207.42177276528517,207.421772765285,1.7053025658242404e-13,1,1.7053025658242404e-13,0.0,0.003984700015280396
2025-04-25,C0,2025-04-25T20:00,2025-04-25T20:00,3902.8084181241475,14.707580696708249,124.29833389476609,124.29833389476603,5.684341886080802e-14,1,5.684341886080802e-14,0.0,0.0035752000112552196
2025-04-25,C0,2025-04-25T21:00,2025-04-25T21:00,1305.5140263390965,29.1858539657473,76.7366677323047,76.73666773230451,1.8474111129762605e-13,1,1.8474111129762605e-13,0.0,0.0032829999981913716
2025-04-25,C0,2025-04-25T22:00,2025-04-25T22:00,1950.0000000000002,-5.60843517944096,46.82355041497088,46.823550414970825,5.684341886080802e-14,1,5.684341886080802e-14,0.0,0.0025286000163760036
2025-04-25,C0,2025-04-25T23:00,2025-04-25T23:00,4950.0,19.596608294324426,15.964492347485846,15.964492347485827,1.9539925233402755e-14,1,1.9539925233402755e-14,0.0,0.0020651999802794307
2025-04-26,C0,2025-04-26T00:00,,6000.0,0.0,501.57825570421596,501.57825570421534,6.252776074688882e-13,1,6.252776074688882e-13,0.0,0.014388600015081465
2025-04-26,C0,2025-04-26T01:00,2025-04-26T01:00,6000.0,20.678789643374103,478.29941347791237,478.2994134779117,6.821210263296962e-13,1,6.821210263296962e-13,0.0,0.01332539998111315
2025-04-26,C0,2025-04-26T02:00,2025-04-26T02:00,6000.0,14.121738903615096,461.1249011303674,461.1249011303666,7.958078640513122e-13,1,7.958078640513122e-13,0.0,0.015692199987825006
2025-04-26,C0,2025-04-26T03:00,2025-04-26T03:00,6000.0,-3.8079546180888997,433.70498410245045,433.70498410244966,7.958078640513122e-13,1,7.958078640513122e-13,0.0,0.017071699985535815
2025-04-26,C0,2025-04-26T04:00,2025-04-26T04:00,6000.0,-23.5484784652117,411.0442078356715,411.0442078356706,9.094947017729282e-13,1,9.094947017729282e-13,0.0,0.013044999999692664
2025-04-26,C0,2025-04-26T05:00,2025-04-26T05:00,3975.1023077691934,1.8300884514879954,399.47556162774725,399.4755616277464,8.526512829121202e-13,1,8.526512829121202e-13,0.0,0.011799200001405552
2025-04-26,C0,2025-04-26T06:00,2025-04-26T06:00,2680.8245577634493,35.122826508120056,376.0856503483098,376.0856503483092,6.252776074688882e-13,1,6.252776074688882e-13,0.0,0.012844599987147376
2025-04-26,C0,2025-04-26T07:00,2025-04-26T07:00,1361.309787358195,7.0782166322903635,363.5712051117578,363.5712051117572,6.252776074688882e-13,1,6.252776074688882e-13,0.0,0.01114299998153001
2025-04-26,C0,2025-04-26T08:00,2025-04-26T08:00,1200.0000000000005,-52.764515710646805,357.8282199698501,357.8282199698488,1.3073986337985843e-12,1,1.3073986337985843e-12,-5.052748343182935e-13,0.0112661000166554
2025-04-26,C0,2025-04-26T09:00,2025-04-26T09:00,1200.0000000000005,-22.72509488359077,357.8282199698501,357.8282199698488,1.3073986337985843e-12,1,1.3073986337985843e-12,-5.052748343182935e-13,0.010265099990647286
2025-04-26,C0,2025-04-26T10:00,2025-04-26T10:00,1200.0000000000005,-117.75616400419244,357.8282199698501,357.8282199698488,1.3073986337985843e-12,1,1.3073986337985843e-12,-5.052748343182935e-13,0.009806899994146079
2025-04-26,C0,2025-04-26T11:00,2025-04-26T11:00,1200.0000000000005,-92.979511700653,357.8282199698501,357.8282199698488,1.3073986337985843e-12,1,1.3073986337985843e-12,-5.052748343182935e-13,0.008869399985997006
2025-04-26,C0,2025-04-26T12:00,2025-04-26T12:00,1200.0000000000002,-292.6525607860598,357.8282199698501,357.8282199698488,1.3073986337985843e-12,1,1.3073986337985843e-12,-2.5263741715914674e-13,0.008579600020311773
2025-04-26,C0,2025-04-26T13:00,2025-04-26T13:00,3372.5157449137105,-93.45289589325648,357.8282199698494,357.82821996984893,4.547473508864641e-13,1,4.547473508864641e-13,0.0,0.008032200013985857
2025-04-26,C0,2025-04-26T14:00,2025-04-26T14:00,6840.690516941234,73.82418500621736,357.82821996984933,357.82821996984893,3.979039320256561e-13,1,3.979039320256561e-13,0.0,0.007431900012306869
2025-04-26,C0,2025-04-26T15:00,2025-04-26T15:00,9322.204698377136,86.64156589313569,357.8282199698494,357.8282199698488,5.684341886080801e-13,1,5.684341886080801e-13,0.0,0.006731100002070889
