date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,savings_vs_v2b_yuan
2025-03-23,1,68335.22038996742,738.1297514851666,69073.35014145258,41194.107692636964,2807.6872776447885,44001.79497028176,21708.621579769544,17590.801220439516,6185.809665455886,36,1,238.43804843387082,13,1686.9501441025518,5996.508523732345,5988.93325614769,43961.78443628162,-40.01053400013916
2025-03-24,1,68027.55711695389,598.0907725310311,68625.64788948491,40991.5136127776,2106.6268245137417,43098.14043729134,21605.0797742994,17527.784355253876,6549.8553871060685,32,1,231.66215794176125,11,1550.5033789044883,5988.93325614769,5958.189102735068,43480.00910580167,381.8686685103312
2025-03-25,1,67516.56393039915,1370.5225214938534,68887.086451893,40685.38163090013,4690.887763414651,45376.269394314775,21811.77961704436,17629.91168226749,3755.093800449465,45,1,936.7169616250303,27,1318.1476030559852,5958.189102735068,6000.0,45403.05865168481,26.789257370037376
2025-03-26,1,68259.82905131872,176.29058608403557,68436.11963740276,41061.10026875416,482.4751169363491,41543.575385690514,21635.667888553457,17524.890989728297,8732.787871910932,13,1,107.87340357236036,5,3329.832461384224,6000.0,6000.0,41534.140443029886,-9.434942660627712
2025-03-27,1,67647.47970530714,612.6335552080916,68260.11326051522,40744.211478934565,2127.564109154716,42871.77558808928,21707.941523328474,17600.558948144044,5435.741285330794,27,1,231.04824774587865,11,1763.149002583305,6000.0,5980.970761946688,42818.063435981654,-53.712152107626025
2025-03-28,1,30209.17216858985,372.4335011575782,30581.605669747427,15402.45352208266,1420.4674065174133,16822.920928600073,16026.536551986826,12964.36829286135,16697.556643955286,24,1,120.34077828586715,6,841.2026410465395,5980.970761946688,6000.0,16778.61254860166,-44.30837999841242
2025-03-29,1,30352.00118035456,235.6960008374999,30587.69718119206,15467.095698204601,874.2793093411002,16341.375007545701,16012.475470813117,12980.318087366688,19848.330614412298,20,1,45.459937979122174,3,1042.4510816041973,6000.0,5988.652271102152,16274.31547448522,-67.05953306048104
2025-03-30,1,64265.603498415745,819.4385472497883,65085.042045665534,38669.54015101427,3159.435179474624,41828.97533048889,21502.059836549724,17406.455511597218,5643.818020713025,34,1,517.3759357965068,18,1752.4514758403427,5988.652271102152,6000.0,42134.76771564178,305.79238515289035
2025-03-31,1,63574.08142695085,1966.3361929151515,65540.417619866,38198.91292946306,7475.367717105556,45674.280646568615,21467.20379396266,17388.435073109755,4510.25941567976,46,1,1545.6942703707261,31,2557.0175819935494,6000.0,6000.0,46077.368885160126,403.08823859151016
2025-04-01,1,64358.5475993809,3112.4623460550974,67471.009945436,38535.79454285568,8817.105170580613,47352.899713436294,21556.256825668825,17463.351635121417,3169.253238221923,59,1,2673.5701452524268,30,1786.5649120393682,6000.0,5996.907104078148,47648.78062276718,295.88090933088824
2025-04-02,1,64914.37894114538,3092.84277248282,68007.2217136282,38725.108406023064,12318.57112436951,51043.679530392576,21543.573593542722,17447.511004439937,3475.823724525416,56,1,1413.5348463389969,22,788.672498406818,5996.907104078148,6000.0,52217.71101380157,1174.031483408995
2025-04-03,1,66585.40374115367,399.79397658871255,66985.19771774238,39702.07309732879,1593.7140303442707,41295.78712767306,21670.932889498035,17554.058793277465,7004.793354855141,26,1,78.69979661082391,4,1216.533638622978,6000.0,5999.32983023994,41419.51627875274,123.72915107967856
2025-04-04,1,29783.94054113699,181.9548774112117,29965.895418548203,15094.941334713882,730.2459678406865,15825.187302554568,16036.12017708821,12998.666315879183,20497.639307339177,16,1,14.89278983415943,2,1049.6460496841207,5999.32983023994,5988.875416420238,15861.573049826251,36.3857472716827
2025-04-05,1,29979.21815704981,558.2122288632263,30537.430385913038,15179.303835435529,2153.6448032621583,17332.948638697686,16038.8853025076,12981.484969809375,15435.915069881477,27,1,354.9906285592586,11,1191.7799570308048,5988.875416420238,6000.0,17219.166943122334,-113.78169557535148
2025-04-06,1,66410.95352963892,174.11398926455,66585.06751890347,39422.18745553025,703.3988846084889,40125.58634013874,21734.572497888017,17605.00372328929,8045.422477638082,13,1,20.812774963645495,2,2775.4873612549627,6000.0,6000.0,40031.50725413221,-94.07908600653172
2025-04-07,1,65854.1500518769,176.23395784245696,66030.38400971936,38994.50485683795,485.56013986765953,39480.06499670561,21652.940315067826,17543.321375496947,8678.04578681514,16,1,88.6880911767305,7,3276.1821129736804,6000.0,5995.066977453326,39476.44391977004,-3.621076935567544
