date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,load_mae_kw,pv_mae_kw,net_mae_kw,load_bias_kw,pv_bias_kw,net_bias_kw,v1_total_cost_yuan,v1_emergency_cost_yuan,savings_vs_v1_yuan
2025-04-07,1,60552.69031875579,1419.8383714285721,61972.528690184365,35951.44080250134,4780.612161564304,40732.052964065646,21141.20522980142,17124.376236139153,4712.980413188762,58,1,745.4419492931398,21,1323.8923366833963,6000.0,6000.000000000001,95.1224072081853,192.0759185515873,255.53411602572228,-16.421174458261863,120.7930772817461,-137.21425174000794,40732.052964065646,4780.612161564304,0.0
2025-04-08,1,60414.214314221455,1467.3777558917548,61881.59207011321,35896.39437604638,6370.488624345102,42266.883000391485,21153.861349433802,17134.627693041377,3509.16479705412,71,1,224.2905787848033,12,379.24398137912823,6000.000000000001,6000.000000000002,95.24670615075439,141.3598273809523,207.35593970607812,-3.176795365892199,81.89766468253967,-85.07446004843187,42266.883000391485,6370.488624345102,0.0
2025-04-09,1,59624.55192743919,4727.031239260809,64351.5831667,35496.426013659366,17095.82879197021,52592.25480562957,21210.784943509923,17180.73580424304,1187.2230107664523,89,1,3578.5800989265535,40,398.2245099862755,6000.000000000002,5999.999999999998,96.40731679058642,202.64677619047623,246.4272604178026,-4.657931749243066,-152.14994126984135,147.4920095205983,52592.25480562957,17095.82879197021,0.0
2025-04-10,1,59561.79740053953,1848.7073916624386,61410.504792201966,35550.23922742285,8016.718186846474,43566.95741426932,21015.33692781098,17022.422911526894,2956.9528759178806,71,1,834.956576782661,21,604.5118883960292,5999.999999999998,6000.0,93.23823173608363,144.14268730158736,200.2358444825133,-9.86230430429426,36.31459087301582,-46.17689517731008,43566.95741426932,8016.718186846474,0.0
2025-04-11,1,27523.515868018345,890.1638831312406,28413.679751149586,13636.08953842821,3130.84023534239,16766.9297737706,16000.0,12960.0,20057.02958448292,48,1,118.83732406895672,5,593.4571111612422,6000.0,6000.000000000003,111.08160547221128,185.98993303571424,261.34559128476326,4.0279317739177785,177.88512450396826,-173.85719273005049,16766.9297737706,3130.84023534239,0.0
2025-04-12,1,27788.37659357434,1071.2823134011996,28859.65890697554,13791.429912616686,4196.2722068406165,17987.702119457303,16000.0,12960.000000000002,16794.498356975542,41,1,654.1248077012012,15,888.2080787650624,6000.000000000003,6000.000000000002,97.73925850961746,160.19475892857145,219.8359662225684,-16.643222782328678,8.993954365079341,-25.63717714740803,17987.702119457303,4196.2722068406165,0.0
2025-04-13,1,58474.99895484137,1969.756850271657,60444.75580511303,34826.716604373185,7980.768464608496,42807.48506898168,20515.463397417465,16617.525351908145,2270.4592762703737,75,1,1106.4360821687092,30,615.3112851277422,6000.000000000002,6000.000000000002,105.96650293048431,105.9736744047619,176.67567193925126,-14.550599892803689,-2.021332142857173,-12.529267749946516,42807.48506898168,7980.768464608496,0.0
2025-04-14,1,57969.11498153758,1419.8179033820268,59388.93288491961,34458.88633196517,5165.483198026182,39624.36952999136,20270.85426401367,16419.39195385107,3009.438774757013,66,1,570.4300716391265,18,502.01128549057177,6000.000000000002,5999.999999999998,105.39515017299433,130.29296884920637,184.5523615891267,29.0963146847724,95.33051765873022,-66.23420297395782,39624.36952999136,5165.483198026182,0.0
2025-04-15,1,58337.20790721164,1395.2183267008836,59732.42623391252,34771.4858382531,6177.394349140915,40948.88018739402,20338.940143163738,16474.541515962625,5728.598773378073,45,1,895.1391341210316,16,1722.2836971810189,5999.999999999998,6000.000000000004,103.51301579785716,231.36243938492063,296.8257125032899,-30.417298472660647,150.1402201388889,-180.55751861154954,40948.88018739402,6177.394349140915,0.0
2025-04-16,1,57708.838775050055,3154.2183270543137,60863.05710210437,34368.12539529997,11201.750433525242,45569.875828825214,20087.248303005603,16270.67112543454,1266.8879745333015,82,1,2110.6495082915044,35,482.18952038144073,6000.000000000004,6000.000000000002,98.46730224426463,127.4566596230159,184.21276256615064,8.763138398692968,-69.87562628968253,78.63876468837549,45569.875828825214,11201.750433525242,0.0
