date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v1_total_cost_yuan,savings_vs_v1_yuan
2025-08-22,1.0,47332.86844389796,1016.6259286033869,48349.49437250135,26867.988699343354,3901.6593163820157,30769.648015725368,20006.667629685562,11615.400780045306,18727.658122861096,40.0,1.0,270.7156869409508,9.0,1247.9858984142659,3600.0000000000005,8700.0,35531.306809700545,4761.658793975177
2025-08-23,1.0,42789.5871056671,298.48335973812283,43088.070465405224,25088.51885955907,963.9927804758964,26052.511640034965,19000.0,15390.000000000002,16948.064315405223,19.0,1.0,26.721995788919685,3.0,1399.8174268766575,8700.0,8700.0,27883.799619522262,1831.287979487297
2025-08-24,1.0,78870.42188048146,408.78245205666076,79279.20433253812,49736.835590951916,1548.714344436925,51285.54993538884,21814.250953597984,17669.543272414365,11400.907168021167,22.0,1.0,110.48089599571358,4.0,3192.6283251142036,8700.0,8700.0,52471.54992063334,1185.9999852445035
2025-08-25,1.0,79067.04975837294,1750.3827311760938,80817.43248954904,49882.25918547745,6297.484508858958,56179.74369433641,22188.99996645108,17973.08997282537,5828.43547925667,35.0,1.0,960.7301141870171,14.0,2354.1961923852764,8700.0,8700.0,63976.36558377722,7796.621889440808
2025-08-26,1.0,80031.6036314835,396.3665964224616,80427.97022790596,50429.421973090306,1554.1710112938122,51983.592984384115,22180.06788116672,17965.85498374504,10684.938947150938,17.0,1.0,15.201386665538394,2.0,3102.5316205402955,8700.0,8700.0,51675.591726118815,-308.00125826529984
2025-08-27,1.0,74204.44752485029,340.86699671667316,74545.31452156696,47975.38332790834,1642.1555715899497,49617.538899498286,16601.62381565453,18037.315290680166,8066.857129925931,15.0,1.0,0.0,0.0,1680.2230024138526,8700.0,3600.000000000001,56397.94202094198,6780.403121443691
2025-08-28,1.0,79015.82993436466,2784.962198302407,81800.79213266708,50120.593340868996,10536.529696066013,60657.12303693501,22268.95525366514,18037.853755468765,6801.895651137371,39.0,1.0,2143.5646906444445,16.0,2411.897610710056,3600.000000000001,3600.0,67318.42365867081,6661.300621735805
2025-08-29,1.0,48605.66220748275,304.51344789163886,48910.17565537438,27923.351236490096,1297.8832135397097,29221.234450029806,20195.982469575618,11768.74580035625,17927.71863615502,17.0,1.0,88.11842372868591,6.0,736.4183580818909,3600.0,8700.0,28857.43455048514,-363.7998995446651
2025-08-30,1.0,43702.993454153744,463.2523162756386,44166.245770429385,25779.407093134043,1379.2366091038962,27158.64370223794,19033.943333216124,15417.494099905063,22037.076703784984,22.0,1.0,133.9864680550072,5.0,2337.933008621435,8700.0,8700.0,28929.202604361555,1770.5589021236156
2025-08-31,1.0,80360.80352968293,151.22230073129944,80512.02583041423,50939.5851477215,532.357198652283,51471.94234637378,22167.431734045345,17955.61970457673,9653.59071761228,11.0,1.0,49.50161029834794,3.0,3022.8431212885125,8700.0,8700.0,53114.71771092697,1642.775364553192
