date,soc_start_kwh,soc_end_kwh,emergency_kwh,emergency_cost_yuan
2025-07-06,8700.0,8700.0,5096.434848374783,22079.793650254196
2025-07-07,8700.0,8700.0,1188.3708696379204,3819.406663520438
2025-07-08,8700.0,8700.0,874.6380587464521,3824.168855604102
2025-07-09,8700.0,2400.000000000003,767.9922714454895,2929.6737132440703
2025-07-10,2400.000000000003,2400.0000000000045,212.94916179854604,796.5123202849124
2025-07-11,2400.0000000000045,8700.0,1281.7489493645712,3463.3420321487038
2025-07-12,8700.0,8700.0,122.97886354783566,407.0204282857584
2025-07-13,8700.0,8700.0,58.78221144605493,334.29070446596756
2025-07-14,8700.0,8700.0,188.47583791100257,904.7433685190954
2025-07-15,8700.0,8700.0,1105.4800945096156,2907.512444457307
2025-07-16,8700.0,3599.9999999999995,346.522331915854,1277.1520792323645
2025-07-17,3599.9999999999995,3600.000000000044,539.0768795865991,2644.354573097832
2025-07-18,3600.000000000044,8700.0,48.16370352113995,205.09440328550352
2025-07-19,8700.0,8700.0,1.6454507171995374,3.5928416410051898
2025-07-20,8700.0,8700.0,149.69660670106947,495.25829352137436
2025-07-21,8700.0,8700.0,246.0878673124236,1032.036359679018
2025-07-22,8700.0,8700.0,404.64875997123727,1779.6989067385541
2025-07-23,8700.0,3599.999999999999,263.5394301477643,1231.0813876935654
2025-07-24,3599.999999999999,3600.0,582.9527016346136,2488.9542517169507
2025-07-25,3600.0,8700.0,62.456848697197096,226.36642937154994
2025-07-26,8700.0,8700.0,131.73610798131318,317.097863712091
2025-07-27,8700.0,8700.0,760.5380160481646,3315.5391641557894
2025-07-28,8700.0,8700.0,1167.2782147134017,4148.921356819644
2025-07-29,8700.0,8700.0,663.2328119066419,2529.9202434912804
2025-07-30,8700.0,3599.9999999999995,84.63782315906218,348.80677875164724
2025-07-31,3599.9999999999995,3599.9999999999977,138.12543197977112,558.1583432104103
2025-08-01,3599.9999999999977,8700.0,95.90242812870144,210.19739984146383
2025-08-02,8700.0,8700.0,30.384585471772674,155.3569625292812
2025-08-03,8700.0,8700.0,247.58447285357153,1024.9524326723943
2025-08-04,8700.0,8700.0,93.87211789521189,268.5361798366532
2025-08-05,8700.0,8700.0,102.92524609911145,318.6333483490261
2025-08-06,8700.0,2400.0000000000023,1357.945805991388,5411.227508182324
2025-08-07,2400.0000000000023,2400.0000000000005,325.8340722360093,1139.6555737826159
2025-08-08,2400.0000000000005,8700.000000000002,195.65268733949924,789.7297553055495
2025-08-09,8700.000000000002,8700.0,331.8369842225477,1311.3905255878703
2025-08-10,8700.0,8700.0,1303.2128649107954,4282.0028263192335
2025-08-11,8700.0,8700.0,852.145090193259,3619.264425336119
2025-08-12,8700.0,8700.0,2318.572554263717,9322.688478506278
2025-08-13,8700.0,2399.9999999999986,1626.6018511185669,5876.262524753056
2025-08-14,2399.9999999999986,2399.9999999999986,1358.375916904479,6101.217589909776
