date,common_initial_soc_kwh,purchase_l1_difference_kwh,charge_l1_difference_kwh,discharge_l1_difference_kwh,r1_end_soc_kwh,r2_end_soc_kwh,end_soc_difference_kwh
2025-03-23,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,8549.999999999998,8549.999999999998,0.0
2025-03-24,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-03-25,8550.0,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-03-26,8550.000000000002,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-03-27,8550.000000000005,0.0,0.0,0.0,4219.118432409656,4219.118432409656,0.0
2025-03-28,4219.118432409655,0.0,0.0,0.0,4073.007634532111,4073.007634532111,0.0
2025-03-29,4073.0076345321154,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-03-30,8550.0,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-03-31,8550.0,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-04-01,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.000000000004,8550.000000000004,0.0
2025-04-02,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-04-03,8550.0,0.0,0.0,0.0,3661.950402420329,3661.950402420329,0.0
2025-04-04,3661.9504024203275,0.0,0.0,0.0,3759.226834106198,3759.226834106198,0.0
2025-04-05,3759.226834106201,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-04-06,8550.000000000004,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-04-07,8549.999999999996,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-04-08,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,8550.000000000004,8550.000000000004,0.0
2025-04-09,8550.000000000004,0.0,0.0,0.0,8550.00000000001,8550.00000000001,0.0
2025-04-10,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,3608.1312240509933,3608.1312240509933,0.0
2025-04-11,3608.1312240509947,0.0,0.0,0.0,3571.688836402869,3571.688836402869,0.0
2025-04-12,3571.688836402869,0.0,0.0,0.0,8549.999999999995,8549.999999999995,0.0
2025-04-13,8550.0,0.0,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-04-14,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-04-15,8550.0,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-04-16,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.000000000004,8550.000000000004,0.0
2025-04-17,8550.0,0.0,0.0,0.0,3374.6295168537226,3374.6295168537226,0.0
2025-04-18,3374.629516853721,0.0,0.0,0.0,3131.389267704396,3131.389267704396,0.0
2025-04-19,3131.3892677043978,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-04-20,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-04-21,8550.000000000002,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-04-22,8550.000000000002,0.0,0.0,0.0,8550.000000000002,8550.000000000002,0.0
2025-04-23,8550.000000000002,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-04-24,8550.000000000002,0.0,0.0,0.0,2863.8014525198596,2863.8014525198596,0.0
2025-04-25,2863.8014525198596,0.0,0.0,0.0,2763.515648124126,2763.515648124126,0.0
2025-04-26,2763.5156481241274,0.0,0.0,0.0,8550.000000000007,8550.000000000007,0.0
2025-04-27,8549.999999999998,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-04-28,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-04-29,8550.000000000004,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-04-30,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-05-01,8550.0,0.0,0.0,0.0,2346.6702032441644,2346.6702032441644,0.0
2025-05-02,2346.6702032441644,0.0,0.0,0.0,2380.478747916914,2380.478747916914,0.0
2025-05-03,2380.4787479169154,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-05-04,8550.000000000002,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-05-05,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.000000000004,8550.000000000004,0.0
2025-05-06,8550.000000000004,0.0,0.0,0.0,8550.000000000004,8550.000000000004,0.0
2025-05-07,8550.0,0.0,1.1368683772161603e-13,0.0,8549.999999999996,8549.999999999996,0.0
2025-05-08,8550.0,0.0,0.0,0.0,2965.3233568441556,2965.3233568441556,0.0
2025-05-09,2965.323356844157,0.0,0.0,0.0,2877.255426845019,2877.255426845019,0.0
2025-05-10,2877.255426845014,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-05-11,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8549.999999999998,8549.999999999998,0.0
2025-05-12,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-05-13,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.000000000004,8550.000000000004,0.0
2025-05-14,8550.000000000002,4.320099833421409e-12,2.0463630789890885e-12,1.637090463191271e-12,8550.000000000004,8550.000000000004,0.0
2025-05-15,8550.0,0.0,0.0,0.0,2483.6643585423735,2483.6643585423735,0.0
2025-05-16,2483.664358542376,0.0,0.0,0.0,2620.642657495662,2620.642657495662,0.0
2025-05-17,2620.642657495661,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-05-18,8550.000000000002,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-05-19,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-05-20,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-05-21,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-05-22,8550.0,0.0,0.0,0.0,2032.4293926863802,2032.4293926863802,0.0
2025-05-23,2032.429392686381,0.0,0.0,0.0,1971.602488091587,1971.602488091587,0.0
2025-05-24,1971.602488091583,0.0,0.0,0.0,8550.000000000005,8550.000000000005,0.0
2025-05-25,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-05-26,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-05-27,8550.000000000002,0.0,0.0,0.0,8549.999999999996,8549.999999999996,0.0
2025-05-28,8550.0,0.0,1.1368683772161603e-13,0.0,8550.000000000004,8550.000000000004,0.0
2025-05-29,8550.000000000002,0.0,0.0,0.0,2065.195139464883,2065.195139464883,0.0
2025-05-30,2065.195139464885,0.0,0.0,0.0,2185.7543887040297,2185.7543887040297,0.0
2025-05-31,2185.7543887040306,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-06-01,8550.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,8550.0,8550.0,0.0
2025-06-02,8550.0,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-06-03,8550.0,0.0,1.1368683772161603e-13,0.0,8549.999999999995,8549.999999999995,0.0
2025-06-04,8550.0,0.0,0.0,0.0,8549.999999999998,8549.999999999998,0.0
2025-06-05,8550.000000000004,8.185452315956354e-12,4.092726157978177e-12,3.274180926382542e-12,2861.0531723984177,2861.0531723984177,0.0
2025-06-06,2861.053172398416,0.0,0.0,0.0,2949.927754676366,2949.927754676366,0.0
2025-06-07,2949.927754676366,0.0,0.0,0.0,8550.000000000007,8550.000000000007,0.0
2025-06-08,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-06-09,8550.000000000002,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-06-10,8550.000000000004,0.0,0.0,0.0,8550.0,8550.0,0.0
2025-06-11,8550.0,0.0,1.1368683772161603e-13,0.0,8549.999999999996,8549.999999999996,0.0
2025-06-12,8550.0,0.0,0.0,0.0,7447.160103496891,7447.160103496891,0.0
