date,phase,horizon_hours,horizon_objective_yuan,horizon_planned_cost_yuan,first_day_planned_cost_yuan,horizon_final_soc_kwh,first_day_end_soc_kwh,seconds,objective_error
2025-03-24,evaluation,24,42361.58568411647,40511.42326670835,40511.42326670835,1200.0000000000002,1199.9999999999995,0.01824299999861978,2.9103830456733704e-11
2025-03-25,evaluation,24,42436.33931706281,40731.08084195283,40731.08084195283,1200.0,1200.000000000002,0.020181200001388788,3.637978807091713e-11
2025-03-26,evaluation,24,42528.865931846056,40913.97969826858,40913.97969826858,1200.0000000000055,1200.0000000000055,0.017858300008811057,3.637978807091713e-11
2025-03-27,evaluation,24,42185.29413074924,40510.92026161481,40510.92026161481,1200.0000000000045,1200.0000000000027,0.01823539999895729,5.093170329928398e-11
2025-03-28,evaluation,24,16002.565922454643,15370.215761568326,15370.215761568326,1200.0000000000027,1200.0000000000032,0.015421699994476512,7.275957614183426e-12
2025-03-29,evaluation,24,15967.91210346243,15309.179608371533,15309.179608371533,1200.000000000001,1199.9999999999995,0.014219299977412447,7.275957614183426e-12
2025-03-30,evaluation,24,40520.8612179172,39025.98567165144,39025.98567165144,1200.0,1200.0000000000005,0.017528099997434765,6.548361852765083e-11
2025-03-31,evaluation,24,40131.557927255766,38637.95504035478,38637.95504035478,1200.0000000000002,1200.0000000000007,0.021922499989159405,2.9103830456733704e-11
2025-04-01,evaluation,24,39703.6026761919,38200.37967661552,38200.37967661552,1200.0000000000036,1200.0000000000014,0.019185899989679456,0.0
2025-04-02,evaluation,24,39593.76398183963,38037.47852667906,38037.47852667906,1200.0000000000032,1200.0000000000007,0.018196499993791804,5.820766091346741e-11
2025-04-03,evaluation,24,40547.45355842268,38928.18355506452,38928.18355506452,1200.000000000001,1200.0000000000005,0.018087699980242178,1.4551915228366852e-11
2025-04-04,evaluation,24,15491.898513427896,14889.454147730063,14889.454147730063,1199.9999999999993,1200.0000000000002,0.014588699996238574,0.0
2025-04-05,evaluation,24,15652.12264752563,15076.300201101409,15076.300201101409,1200.0000000000032,1200.0000000000032,0.015693699999246746,7.275957614183426e-12
2025-04-06,evaluation,24,41395.333641871555,39402.19277513424,39402.19277513424,1200.0000000000005,1199.9999999999966,0.018704699992667884,2.1827872842550278e-11
2025-04-07,evaluation,24,41002.806293672176,39129.971479643566,39129.971479643566,1200.0000000000032,1200.0000000000032,0.01834800001233816,2.9103830456733704e-11
2025-04-08,evaluation,24,41072.048565463076,39125.36241702158,39125.36241702158,1199.9999999999989,1200.0000000000032,0.018910299986600876,3.637978807091713e-11
2025-04-09,evaluation,24,40589.56310976987,38587.08840415845,38587.08840415845,1200.0000000000077,1200.0000000000043,0.019611199997598305,2.9103830456733704e-11
2025-04-10,evaluation,24,40572.57497799061,38690.76465785149,38690.76465785149,1200.0000000000039,1200.0000000000014,0.020124300004681572,4.3655745685100555e-11
2025-04-11,evaluation,24,15121.395360368939,14533.664846931399,14533.664846931399,1200.000000000002,1200.000000000003,0.014427999994950369,1.8189894035458565e-12
2025-04-12,evaluation,24,15304.014919945794,14704.345258176014,14704.345258176014,1199.9999999999968,1200.0000000000005,0.014745199994649738,1.8189894035458565e-12
2025-04-13,evaluation,24,40284.10741261441,38420.0757158335,38420.0757158335,1200.0000000000045,1200.0000000000014,0.0184917000005953,7.275957614183426e-12
2025-04-14,evaluation,24,39921.19103816787,38053.39296043503,38053.39296043503,1199.9999999999986,1199.999999999999,0.023927200003527105,1.4551915228366852e-11
2025-04-15,evaluation,24,40291.92332388357,38426.26583578947,38426.26583578947,1200.0000000000027,1200.0,0.02130519997444935,2.9103830456733704e-11
2025-04-16,evaluation,24,39845.43356399115,38156.568653550596,38156.568653550596,1200.0000000000018,1200.0,0.018870500003686175,0.0
2025-04-17,evaluation,24,39511.7741091319,37718.97424569115,37718.97424569115,1200.0000000000002,1199.9999999999989,0.020100499998079613,2.9103830456733704e-11
2025-04-18,evaluation,24,14766.89534805722,14156.07586427444,14156.07586427444,1199.9999999999982,1200.0,0.015446400007931516,0.0
2025-04-19,evaluation,24,14675.688736413751,14074.188005521839,14074.188005521839,1199.9999999999982,1199.9999999999995,0.015350200003013015,3.637978807091713e-12
2025-04-20,evaluation,24,38014.36518438324,36615.431939454655,36615.431939454655,1200.000000000001,1200.0000000000018,0.01664159999927506,3.637978807091713e-11
2025-04-21,evaluation,24,37781.15472020667,36348.17902711633,36348.17902711633,1199.9999999999986,1200.0000000000023,0.015426199999637902,7.275957614183426e-12
2025-04-22,evaluation,24,37606.34474394114,36245.70100671438,36245.70100671438,1200.000000000004,1200.0000000000018,0.015416300011565909,0.0
2025-04-23,evaluation,24,37778.42400898259,36416.58864121379,36416.58864121379,1200.0000000000014,1200.0000000000018,0.017697399976896122,2.1827872842550278e-11
2025-04-24,evaluation,24,37384.05397172358,35992.54138538906,35992.54138538906,1199.9999999999998,1200.0,0.017068699991796166,2.1827872842550278e-11
2025-04-25,evaluation,24,13906.605104604516,13352.208312380972,13352.208312380972,1199.9999999999993,1200.0,0.0130275999836158,3.637978807091713e-12
2025-04-26,evaluation,24,13839.376042523309,13301.370042402232,13301.370042402232,1199.999999999999,1199.9999999999984,0.01646050001727417,1.0913936421275139e-11
2025-04-27,evaluation,24,34956.96269061109,33872.96835495181,33872.96835495181,1200.0000000000036,1200.0000000000016,0.01905469998018816,7.275957614183426e-12
2025-04-28,evaluation,24,35016.7855468875,33956.30667252584,33956.30667252584,1199.9999999999995,1200.000000000003,0.017129499989096075,4.3655745685100555e-11
2025-04-29,evaluation,24,35661.75536752247,34623.01418973907,34623.01418973907,1199.9999999999995,1200.0000000000023,0.020553700014716014,4.3655745685100555e-11
2025-04-30,evaluation,24,35677.95758478211,34522.26382562359,34522.26382562359,1199.999999999999,1200.0,0.01810960000148043,6.548361852765083e-11
