date,alpha,margin_kwh,max_margin_kwh,residual_sample_count
2025-07-31,0.8,3683.793083270505,79.36275866666665,210
2025-08-01,0.8,3584.14757596098,76.73655266666661,211
2025-08-02,0.8,3531.9456815018025,76.73655266666661,212
2025-08-03,0.8,3329.5095873517735,76.73655266666661,213
2025-08-04,0.8,3206.1620412729985,75.00642333333336,214
2025-08-05,0.8,3098.612741443474,73.80891266666673,215
2025-08-06,0.8,2881.0358525920246,61.747662666666834,216
2025-08-07,0.8,2821.26815860778,55.52393733333332,217
2025-08-08,0.8,2627.869693410372,55.52393733333332,218
2025-08-09,0.8,2571.4064953333364,55.52393733333332,219
2025-08-10,0.8,2492.0104001904783,55.52393733333332,220
2025-08-11,0.8,2447.086210664566,55.52393733333332,221
2025-08-12,0.8,2455.3320743804297,54.53634399999989,222
2025-08-13,0.8,2443.2862426120564,57.23902685714288,223
2025-08-14,0.8,2425.3281355012064,57.23902685714288,224
2025-08-15,0.8,2370.3626677869197,58.18711495238082,225
2025-08-16,0.8,2354.712009787119,68.56501857142857,226
2025-08-17,0.8,2283.379889615255,61.86461247619064,227
2025-08-18,0.8,2204.911573535597,61.86461247619064,228
2025-08-19,0.8,2245.453040304824,61.86461247619064,229
2025-08-20,0.8,2234.5566773451205,61.86461247619064,230
2025-08-21,0.8,2246.601621748411,61.86461247619064,231
2025-08-22,0.8,2263.129567067831,52.69161142857142,232
2025-08-23,0.8,2276.184827387353,51.99403171428606,233
2025-08-24,0.8,2214.1550171825675,51.99403171428606,234
2025-08-25,0.8,2248.836754614398,56.25159666666646,235
2025-08-26,0.8,2260.116418533536,48.067136666666464,236
2025-08-27,0.8,2223.6427490238384,50.293035714285445,237
2025-08-28,0.8,2174.6522305664575,48.8074806666665,238
2025-08-29,0.8,2301.311156576588,54.03469857142837,239
2025-08-30,0.8,2311.17909833935,54.03469857142837,240
2025-08-31,0.8,2330.9880121998444,54.03469857142837,241
2025-09-01,0.8,2373.834014088511,54.03469857142837,242
2025-09-02,0.8,2414.356216850415,49.071819047619286,243
2025-09-03,0.8,2421.0630385646996,53.69722647619061,244
2025-09-04,0.8,2429.389162394505,53.69722647619061,245
2025-09-05,0.8,2414.2632505179627,53.69722647619061,246
2025-09-06,0.8,2390.4299907084383,53.69722647619061,247
2025-09-07,0.8,2461.403233024628,53.69722647619061,248
2025-09-08,0.8,2449.3046983532568,53.69722647619061,249
2025-09-09,0.8,2505.098435236581,53.69722647619061,250
2025-09-10,0.8,2511.9488536034,53.69722647619061,251
2025-09-11,0.8,2537.7299779902314,53.69722647619061,252
2025-09-12,0.8,2475.163877288285,53.69722647619061,253
2025-09-13,0.8,2475.55232825478,53.69722647619061,254
2025-09-14,0.8,2469.0215979690647,53.69722647619061,255
2025-09-15,0.8,2490.837107298872,53.69722647619061,256
2025-09-16,0.8,2514.665117673631,57.802334000000535,257
2025-09-17,0.8,2544.064067523808,54.80526809523801,258
2025-09-18,0.8,2505.865898487621,46.331916190476406,259
2025-09-19,0.8,2516.38643858286,46.331916190476406,260
2025-09-20,0.8,2433.753281346855,46.08672314285729,261
2025-09-21,0.8,2385.9080705735187,46.08672314285729,262
2025-09-22,0.8,2370.6294862878053,46.08672314285729,263
2025-09-23,0.8,2406.112836097329,46.08672314285729,264
2025-09-24,0.8,2482.1730823012017,41.20482333333357,265
2025-09-25,0.8,2446.4249671454404,43.652343047619105,266
2025-09-26,0.8,2452.957038219488,43.652343047619105,267
2025-09-27,0.8,2479.6080052712487,43.652343047619105,268
2025-09-28,0.8,2352.221317918771,43.652343047619105,269
2025-09-29,0.8,2396.457229935534,43.652343047619105,270
2025-09-30,0.8,2451.788700267853,43.652343047619105,271
2025-10-01,0.8,2488.597061623599,43.652343047619105,272
2025-10-02,0.8,2504.7204694597904,43.652343047619105,273
2025-10-03,0.8,2553.2759871917124,43.652343047619105,274
2025-10-04,0.8,2574.0517488374485,47.77276533333332,275
2025-10-05,0.8,2557.622580187114,47.77276533333332,276
2025-10-06,0.8,2593.6663316842564,47.77276533333332,277
2025-10-07,0.8,2675.5933740914297,48.65209399999998,278
2025-10-08,0.8,2719.9360169791435,51.25329000000004,279
2025-10-09,0.8,2802.7132067721113,66.51485600000018,280
2025-10-10,0.8,2881.9673803876317,66.51485600000018,281
2025-10-11,0.8,2893.520613591439,66.51485600000018,282
2025-10-12,0.8,2954.641327864517,66.51485600000018,283
2025-10-13,0.8,3128.719392213459,102.12693400000006,284
2025-10-14,0.8,3136.2316008801254,102.12693400000006,285
2025-10-15,0.8,3231.7059846042507,152.65266000000008,286
2025-10-16,0.8,3417.8424760790485,182.48826544738347,287
2025-10-17,0.8,3575.6299583589034,214.94817852562727,288
2025-10-18,0.8,3536.8435488350938,214.94817852562727,289
2025-10-19,0.8,3507.2373299169976,214.94817852562727,290
2025-10-20,0.8,3647.543490484276,316.42779001025957,291
2025-10-21,0.8,3669.0519000848444,316.42779001025957,292
2025-10-22,0.8,3782.0936653922354,384.953042235755,293
2025-10-23,0.8,3809.656859270333,384.953042235755,294
2025-10-24,0.8,3775.2272275949576,384.953042235755,295
2025-10-25,0.8,3662.4115665415197,384.953042235755,296
2025-10-26,0.8,3653.025322155807,384.953042235755,297
2025-10-27,0.8,3662.0409075510443,384.953042235755,298
2025-10-28,0.8,3614.9195246678355,384.953042235755,299
2025-10-29,0.8,3596.3776451460603,384.953042235755,300
2025-10-30,0.8,3656.9572582766586,444.7564415079134,301
2025-10-31,0.8,3559.0714442376184,444.7564415079134,302
2025-11-01,0.8,3602.5380462131643,444.7564415079134,303
2025-11-02,0.8,3648.6037797663676,444.7564415079134,304
2025-11-03,0.8,3693.3713045368413,444.7564415079134,305
2025-11-04,0.8,3718.8518355082683,444.7564415079134,306
2025-11-05,0.8,3708.0407138892215,444.7564415079134,307
2025-11-06,0.8,3610.286635579525,444.7564415079134,308
2025-11-07,0.8,3627.6622071866955,493.7480138095251,309
2025-11-08,0.8,3527.4562359658566,435.9842962698183,310
2025-11-09,0.8,3494.292002216335,435.9842962698183,311
2025-11-10,0.8,3483.2368562219444,435.9842962698183,312
2025-11-11,0.8,3560.142076143336,486.000402800975,313
2025-11-12,0.8,3534.1444861499303,486.000402800975,314
2025-11-13,0.8,3500.910833635642,486.000402800975,315
2025-11-14,0.8,3412.148809558543,486.000402800975,316
2025-11-15,0.8,3215.8795877156817,408.0195641643749,317
2025-11-16,0.8,2942.104601099853,242.72964138764706,318
2025-11-17,0.8,2956.6909836172163,242.72964138764706,319
2025-11-18,0.8,2942.354981325786,242.72964138764706,320
2025-11-19,0.8,2797.1442915101024,128.1357565843437,321
2025-11-20,0.8,2777.552986938672,128.1357565843437,322
2025-11-21,0.8,2728.9682425458964,102.38785495347263,323
2025-11-22,0.8,2644.6955879934117,102.38785495347263,324
2025-11-23,0.8,2669.9686279569614,102.38785495347263,325
2025-11-24,0.8,2665.8355032675468,102.38785495347263,326
2025-11-25,0.8,2643.9650914543295,102.38785495347263,327
2025-11-26,0.8,2627.790263410519,102.38785495347263,328
2025-11-27,0.8,2582.773241125619,61.123307333333116,329
2025-11-28,0.8,2574.218686173237,61.123307333333116,330
2025-11-29,0.8,2470.736716645897,54.68577866666648,331
2025-11-30,0.8,2480.012750924014,53.216354666666795,332
2025-12-01,0.8,2523.735300159035,48.9637166666667,333
2025-12-02,0.8,2757.682642617593,102.38785495347263,334
2025-12-03,0.8,2958.1391941566144,122.55347695999833,335
2025-12-04,0.8,3133.9963709713597,122.55347695999833,336
2025-12-05,0.8,3289.983532442745,124.36761752380842,337
2025-12-06,0.8,3375.7703139253063,124.36761752380842,338
2025-12-07,0.8,3440.525589844603,101.28448800761755,339
2025-12-08,0.8,3564.021953504825,110.3287757594887,340
2025-12-09,0.8,3569.8367018603008,110.3287757594887,341
2025-12-10,0.8,3546.4501429378906,101.28448800761755,342
2025-12-11,0.8,3460.11115304906,79.67017012998309,343
2025-12-12,0.8,3480.3640790306417,79.67017012998309,344
2025-12-13,0.8,3520.404623510698,79.67017012998309,345
2025-12-14,0.8,3469.6837361877215,79.67017012998309,346
2025-12-15,0.8,3502.0087727954487,79.67017012998309,347
2025-12-16,0.8,3494.676965636412,79.67017012998309,348
2025-12-17,0.8,3460.130007138673,79.67017012998309,349
2025-12-18,0.8,3439.987786662482,79.67017012998309,350
2025-12-19,0.8,3425.965653473816,79.67017012998309,351
2025-12-20,0.8,3447.2747894919125,79.67017012998309,352
2025-12-21,0.8,3410.5199079185813,79.67017012998309,353
2025-12-22,0.8,3406.5038036395445,79.67017012998309,354
2025-12-23,0.8,3400.8071137217084,79.67017012998309,355
2025-12-24,0.8,3369.672337343134,79.67017012998309,356
2025-12-25,0.8,3361.8427569219566,79.67017012998309,357
2025-12-26,0.8,3340.214022921954,79.67017012998309,358
2025-12-27,0.8,3331.4900441606824,79.67017012998309,359
2025-12-28,0.8,3319.4164794416347,79.67017012998309,360
2025-12-29,0.8,3275.2090975040664,79.67017012998309,361
2025-12-30,0.8,3222.6693216110407,79.67017012998309,362
2025-12-31,0.8,3088.058551065138,54.24302380952393,363
