date,variant,alpha,base_planned_cost_yuan,margin_purchase_cost_yuan,purchase_kwh,margin_kwh,reserve_segments
2025-03-08,dp_closed,0.8,16184.48895944871,1868.7203259927646,33653.16775327412,2302.5807493500834,42
2025-03-09,greedy_closed,0.8,44036.55371033239,1851.8544922968676,73696.57101525358,2299.820129254844,0
2025-03-09,dp_fixed,0.8,44036.55371033239,1851.8544922968676,73696.57101525358,2299.820129254844,49
2025-03-09,dp_closed,0.8,44036.55371033239,1851.8544922968676,73696.57101525358,2299.820129254844,49
2025-03-10,greedy_closed,0.8,43386.99029535638,1844.334231756421,72816.13110475332,2292.033590842146,0
2025-03-10,dp_fixed,0.8,43386.99029535638,1844.334231756421,72816.13110475332,2292.033590842146,51
2025-03-10,dp_closed,0.8,43386.99029535638,1844.334231756421,72816.13110475332,2292.033590842146,51
2025-03-11,greedy_closed,0.8,43010.04541965535,1915.4876443085436,72517.15898402047,2369.6205204924563,0
2025-03-11,dp_fixed,0.8,43010.04541965535,1915.4876443085436,72517.15898402047,2369.6205204924563,49
2025-03-11,dp_closed,0.8,43010.04541965535,1915.4876443085436,72517.15898402047,2369.6205204924563,49
2025-03-12,greedy_closed,0.8,42675.52550749165,1940.0336079835347,71973.63609992816,2393.450513016107,0
2025-03-12,dp_fixed,0.8,42675.52550749165,1940.0336079835347,71973.63609992816,2393.450513016107,48
2025-03-12,dp_closed,0.8,42675.52550749165,1940.0336079835347,71973.63609992816,2393.450513016107,48
2025-03-13,greedy_closed,0.8,42276.49305788386,1963.3605193196527,71246.2919099831,2419.4477765566644,0
2025-03-13,dp_fixed,0.8,42276.49305788386,1963.3605193196527,71246.2919099831,2419.4477765566644,47
2025-03-13,dp_closed,0.8,42276.49305788386,1963.3605193196527,71246.2919099831,2419.4477765566644,47
2025-03-14,greedy_closed,0.8,16005.995640433262,2084.594315814171,33673.18758703291,2535.203658248821,0
2025-03-14,dp_fixed,0.8,16005.995640433262,2084.594315814171,33673.18758703291,2535.203658248821,40
2025-03-14,dp_closed,0.8,16005.995640433262,2084.594315814171,33673.18758703291,2535.203658248821,40
2025-03-15,greedy_closed,0.8,15527.570401661673,2052.1809216196466,32562.48841317676,2501.7111575137974,0
2025-03-15,dp_fixed,0.8,15527.570401661673,2052.1809216196466,32562.48841317676,2501.7111575137974,42
2025-03-15,dp_closed,0.8,15527.570401661673,2052.1809216196466,32562.48841317676,2501.7111575137974,42
2025-03-16,greedy_closed,0.8,41691.47803627387,2075.7847698325486,70505.49503649777,2533.1285565343733,0
2025-03-16,dp_fixed,0.8,41691.47803627387,2075.7847698325486,70505.49503649777,2533.1285565343733,49
2025-03-16,dp_closed,0.8,41691.47803627387,2075.7847698325486,70505.49503649777,2533.1285565343733,49
2025-03-17,greedy_closed,0.8,41356.228248829255,2088.8800832122643,69987.31058493393,2548.6619999049794,0
2025-03-17,dp_fixed,0.8,41356.228248829255,2088.8800832122643,69987.31058493393,2548.6619999049794,53
2025-03-17,dp_closed,0.8,41356.228248829255,2088.8800832122643,69987.31058493393,2548.6619999049794,53
2025-03-18,greedy_closed,0.8,40547.3077819808,2099.0596560376107,68722.67646449563,2529.632372271256,0
2025-03-18,dp_fixed,0.8,40547.3077819808,2099.0596560376107,68722.67646449563,2529.632372271256,55
2025-03-18,dp_closed,0.8,40547.3077819808,2099.0596560376107,68722.67646449563,2529.632372271256,55
2025-03-19,greedy_closed,0.8,40542.768973576334,2076.887581192048,68583.60099872146,2511.378433336833,0
2025-03-19,dp_fixed,0.8,40542.768973576334,2076.887581192048,68583.60099872146,2511.378433336833,53
2025-03-19,dp_closed,0.8,40542.768973576334,2076.887581192048,68583.60099872146,2511.378433336833,53
2025-03-20,greedy_closed,0.8,40225.852732697196,2068.5303021708596,68018.40839147981,2501.171304638419,0
2025-03-20,dp_fixed,0.8,40225.852732697196,2068.5303021708596,68018.40839147981,2501.171304638419,52
2025-03-20,dp_closed,0.8,40225.852732697196,2068.5303021708596,68018.40839147981,2501.171304638419,52
2025-03-21,greedy_closed,0.8,15211.249670752857,2114.073683144432,32254.75762832522,2565.553538857166,0
2025-03-21,dp_fixed,0.8,15211.249670752857,2114.073683144432,32254.75762832522,2565.553538857166,42
2025-03-21,dp_closed,0.8,15211.249670752857,2114.073683144432,32254.75762832522,2565.553538857166,42
2025-03-22,greedy_closed,0.8,15077.702552756815,2099.550475438907,31873.917454990395,2552.798120871733,0
2025-03-22,dp_fixed,0.8,15077.702552756815,2099.550475438907,31873.917454990395,2552.798120871733,43
2025-03-22,dp_closed,0.8,15077.702552756815,2099.550475438907,31873.917454990395,2552.798120871733,43
2025-03-23,greedy_closed,0.8,38811.43311219528,2116.3570850124024,65766.84887065002,2571.721391871734,0
2025-03-23,dp_fixed,0.8,38811.43311219528,2116.3570850124024,65766.84887065002,2571.721391871734,47
2025-03-23,dp_closed,0.8,38811.43311219528,2116.3570850124024,65766.84887065002,2571.721391871734,47
2025-03-24,greedy_closed,0.8,38332.126690847275,2136.5901259549646,65070.82979884373,2585.930034011356,0
2025-03-24,dp_fixed,0.8,38332.126690847275,2136.5901259549646,65070.82979884373,2585.930034011356,48
2025-03-24,dp_closed,0.8,38332.126690847275,2136.5901259549646,65070.82979884373,2585.930034011356,48
2025-03-25,greedy_closed,0.8,38234.652226009515,2126.1560289742542,64927.25447106061,2593.5846737937777,0
2025-03-25,dp_fixed,0.8,38234.652226009515,2126.1560289742542,64927.25447106061,2593.5846737937777,50
2025-03-25,dp_closed,0.8,38234.652226009515,2126.1560289742542,64927.25447106061,2593.5846737937777,50
2025-03-26,greedy_closed,0.8,38503.582931184275,2179.3109133076623,65516.52616057738,2630.9111614324506,0
2025-03-26,dp_fixed,0.8,38503.582931184275,2179.3109133076623,65516.52616057738,2630.9111614324506,47
2025-03-26,dp_closed,0.8,38503.582931184275,2179.3109133076623,65516.52616057738,2630.9111614324506,47
2025-03-27,greedy_closed,0.8,38014.26606025711,2157.1204569154343,64533.947239522575,2619.830567052013,0
2025-03-27,dp_fixed,0.8,38014.26606025711,2157.1204569154343,64533.947239522575,2619.830567052013,48
2025-03-27,dp_closed,0.8,38014.26606025711,2157.1204569154343,64533.947239522575,2619.830567052013,48
2025-03-28,greedy_closed,0.8,14435.02794612856,2166.6876366424685,31131.971830864764,2624.7048845838094,0
2025-03-28,dp_fixed,0.8,14435.02794612856,2166.6876366424685,31131.971830864764,2624.7048845838094,40
2025-03-28,dp_closed,0.8,14435.02794612856,2166.6876366424685,31131.971830864764,2624.7048845838094,40
2025-03-29,greedy_closed,0.8,14449.967524932807,2138.591837708365,31059.81735612525,2604.023004789012,0
2025-03-29,dp_fixed,0.8,14449.967524932807,2138.591837708365,31059.81735612525,2604.023004789012,41
2025-03-29,dp_closed,0.8,14449.967524932807,2138.591837708365,31059.81735612525,2604.023004789012,41
2025-03-30,greedy_closed,0.8,36537.544028834855,2148.53276661993,62258.57078437149,2610.640719386147,0
2025-03-30,dp_fixed,0.8,36537.544028834855,2148.53276661993,62258.57078437149,2610.640719386147,46
2025-03-30,dp_closed,0.8,36537.544028834855,2148.53276661993,62258.57078437149,2610.640719386147,46
2025-03-31,greedy_closed,0.8,36128.61633821673,2147.1005945355905,61625.77520094099,2613.9647949466334,0
2025-03-31,dp_fixed,0.8,36128.61633821673,2147.1005945355905,61625.77520094099,2613.9647949466334,45
2025-03-31,dp_closed,0.8,36128.61633821673,2147.1005945355905,61625.77520094099,2613.9647949466334,45
2025-04-01,greedy_closed,0.8,36004.00141543336,2158.499957188453,61787.57408132403,2631.9687609396105,0
2025-04-01,dp_fixed,0.8,36004.00141543336,2158.499957188453,61787.57408132403,2631.9687609396105,49
2025-04-01,dp_closed,0.8,36004.00141543336,2158.499957188453,61787.57408132403,2631.9687609396105,49
2025-04-02,greedy_closed,0.8,36114.86059113227,2116.3606516342043,62293.52665133531,2590.763293727835,0
2025-04-02,dp_fixed,0.8,36114.86059113227,2116.3606516342043,62293.52665133531,2590.763293727835,59
