date,threshold_kwh,reserve_min_kwh,reserve_max_kwh,reserve_segments,end_soc_kwh
2025-10-17,800.0,1200.0,9766.339607426149,30,6000.000000000002
2025-10-18,800.0,1200.0,10020.082336523616,28,6000.0
2025-10-19,800.0,1200.0,10362.75700043668,28,6000.0
2025-10-20,800.0,1200.0,10293.507094483386,27,6000.000000000002
2025-10-21,800.0,1200.0,10296.5481842078,30,6000.0
2025-10-22,800.0,1200.0,10297.873440194406,31,6000.0
2025-10-23,800.0,1200.0,10303.323177728062,31,6000.0
2025-10-24,800.0,1200.0,10026.052593750846,30,6000.0
2025-10-25,800.0,1200.0,10049.467540919128,29,6000.000000000001
2025-10-26,800.0,1200.0,10232.137640215815,29,6000.0
2025-10-27,800.0,1200.0,10273.150228317685,30,6000.0
2025-10-28,800.0,1200.0,10306.976353113318,27,6000.0
2025-10-29,800.0,1200.0,10319.726417854326,28,6000.000000000001
2025-10-30,800.0,1200.0,10315.486498932703,27,6000.0
2025-10-31,800.0,1200.0,10165.91478107604,31,6000.0
2025-11-01,800.0,1200.0,10161.343469084686,30,6000.000000000001
2025-11-02,800.0,1200.0,10351.606392704953,30,6000.000000000001
2025-11-03,800.0,1200.0,10277.986021284993,33,6000.0
2025-11-04,800.0,1200.0,10293.558519441813,30,6000.0
2025-11-05,800.0,1200.0,10284.442986571961,31,6000.0
2025-11-06,800.0,1200.0,10298.02984643279,30,6000.0
2025-11-07,800.0,1200.0,10215.654990084326,29,6000.0
2025-11-08,800.0,1200.0,10203.663407145257,31,6000.000000000001
2025-11-09,800.0,1200.0,10302.299426432715,30,6000.000000000002
2025-11-10,800.0,1200.0,10357.326966333294,30,6000.0
2025-11-11,800.0,1200.0,10347.450908811008,34,6000.000000000003
2025-11-12,800.0,1200.0,10378.772476175822,34,6000.000000000002
2025-11-13,800.0,1200.0,10380.737195583348,35,6000.0
2025-11-14,800.0,1200.0,10310.838981362416,28,6000.0
2025-11-15,800.0,1200.0,10239.860101329123,28,6000.0
2025-11-16,800.0,1200.0,10408.74071122445,34,6000.0
2025-11-17,800.0,1200.0,10422.989224279965,33,6000.000000000001
2025-11-18,800.0,1200.0,10420.779823948964,34,6000.0
2025-11-19,800.0,1200.0,10449.631891626195,30,6000.0
2025-11-20,800.0,1200.0,10459.20389234381,29,6000.0
2025-11-21,800.0,1200.0,10386.126430562084,29,6000.0
2025-11-22,800.0,1200.0,10281.402450409649,29,6000.000000000001
2025-11-23,800.0,1200.0,10472.349278827758,32,6000.0
2025-11-24,800.0,1200.0,10452.59820522467,29,6000.000000000002
2025-11-25,800.0,1200.0,10443.28947779366,29,6000.0
2025-11-26,800.0,1200.0,10440.567147971258,27,6000.0
2025-11-27,800.0,1200.0,10420.880189672658,27,6000.0
2025-11-28,800.0,1200.0,10299.806509204427,27,6000.000000000001
2025-11-29,800.0,1200.0,10277.062227837001,28,6000.000000000001
2025-11-30,800.0,1200.0,10436.847369836602,32,6000.000000000002
2025-12-01,800.0,1200.0,10441.16906859638,32,6000.000000000002
2025-12-02,800.0,1200.0,10468.397709907278,31,6000.0
2025-12-03,800.0,1200.0,10442.407695110374,32,6000.0
2025-12-04,800.0,1200.0,10418.464720569227,37,6000.0
2025-12-05,800.0,1200.0,10362.262744447367,40,6000.000000000002
2025-12-06,800.0,1200.0,10322.338607991443,37,6000.000000000002
2025-12-07,800.0,1200.0,10418.715239278557,30,6000.000000000003
2025-12-08,800.0,1200.0,10394.845886608618,29,6000.0
2025-12-09,800.0,1200.0,10409.975924193239,29,6000.000000000002
2025-12-10,800.0,1200.0,10380.68158659107,29,6000.000000000002
2025-12-11,800.0,1200.0,10373.806599941823,29,6000.000000000001
2025-12-12,800.0,1200.0,10243.634285514805,34,6000.000000000001
2025-12-13,800.0,1200.0,10251.098455024361,35,6000.0
2025-12-14,800.0,1200.0,10398.050251094024,32,6000.0
2025-12-15,800.0,1200.0,10402.056521648627,34,6000.000000000001
2025-12-16,800.0,1200.0,10410.131741465562,26,6000.000000000002
2025-12-17,800.0,1200.0,10434.546472408649,28,6000.000000000002
2025-12-18,800.0,1200.0,10430.49551491529,30,6000.000000000001
2025-12-19,800.0,1200.0,10301.282720948035,37,6000.000000000002
2025-12-20,800.0,1200.0,10288.508394455623,40,6000.0
2025-12-21,800.0,1200.0,10451.224745507447,42,6000.0
2025-12-22,800.0,1200.0,10487.11247216739,25,6000.000000000001
2025-12-23,800.0,1200.0,10468.03800799082,28,6000.000000000002
2025-12-24,800.0,1200.0,10469.848886819906,30,6000.0
2025-12-25,800.0,1200.0,10463.575326671009,31,6000.000000000002
2025-12-26,800.0,1200.0,10359.29905444743,33,6000.000000000001
2025-12-27,800.0,1200.0,10306.081968615334,32,6000.000000000001
2025-12-28,800.0,1200.0,10394.562788345054,25,6000.0
2025-12-29,800.0,1200.0,10383.708481720449,27,6000.000000000003
2025-12-30,800.0,1200.0,10373.75295312751,27,6000.0
2025-12-31,800.0,1200.0,10377.490164292609,27,6000.000000000003
