date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,v2b_total_cost_yuan,difference_vs_v2b_yuan
2025-03-20,1,69885.79111179117,653.8562213355166,70539.64733312669,42210.97675705566,2542.349900326808,44753.326657382466,21842.874944473107,17692.728705023215,4180.539277010133,38,1,80.52939715658124,4,1028.1786940339896,6000.0,6000.0,44753.326657382466,0.0
2025-03-21,1,30852.32182934973,439.65549365236166,31291.97732300209,15929.915975667343,1380.7041436018008,17310.620119269144,16000.0,12959.999999999998,16218.512806335424,32,1,113.82085254450908,8,677.4287512050457,6000.0,6000.000000000002,17141.057475996724,169.56264327242025
2025-03-22,1,31024.31749295866,444.82250452221115,31469.13999748087,16082.590640686465,1417.5618767380015,17500.152517424467,16000.000000000002,12960.000000000002,12547.940264147539,23,1,204.55777808264224,6,813.1185609788888,6000.000000000002,6000.0,17385.321593042834,114.83092438163294
2025-03-23,1,68335.22038996742,746.7311696670621,69081.95155963449,41194.107692636964,2767.6767436446494,43961.78443628162,21717.71996415104,17591.353170962342,6185.864649779108,34,1,226.14661386742728,8,1616.8381827054313,6000.0,6000.000000000002,43961.78443628162,0.0
2025-03-24,1,68027.55711695389,701.3018320239507,68728.85894897784,40991.5136127776,2484.040823964111,43475.55443674171,21591.07973129413,17488.77458234824,6628.056716698625,32,1,162.7369086139155,7,1367.2369362209315,6000.000000000002,6000.000000000002,43480.00910580167,-4.454669059959997
2025-03-25,1,67516.56393039915,1382.8442289887803,68899.40815938792,40685.38163090013,4717.677020784696,45403.05865168482,21688.3566327754,17567.568872548076,3828.4956824939372,44,1,729.6050346417765,15,978.124907982253,6000.000000000002,6000.0000000000055,45403.05865168481,7.275957614183426e-12
2025-03-26,1,68259.82905131872,172.118910682797,68431.94796200152,41061.10026875416,473.04017427571944,41534.140443029886,21665.04935471296,17548.689977317503,8723.033717939394,13,1,31.95411721655125,2,2847.623823420375,6000.0000000000055,6000.000000000001,41534.140443029886,0.0
2025-03-27,1,67647.47970530714,602.0527985590222,68249.53250386615,40744.211478934565,2073.8519570470908,42818.063435981654,21647.64507728089,17534.59251259752,5419.490539182786,27,1,109.38640826048572,5,1729.9137429708785,6000.000000000001,6000.000000000002,42818.063435981654,0.0
2025-03-28,1,30209.17216858985,446.74641389468513,30655.918582484534,15402.45352208266,1570.569342920387,16973.022865003048,16000.000000000002,12960.000000000004,16794.037815817872,27,1,87.42324744421262,4,740.895616201379,6000.000000000002,6000.0,16778.61254860166,194.4103164013868
2025-03-29,1,30352.00118035456,231.82521953170453,30583.826399886264,15467.095698204601,857.3015843842884,16324.39728258889,16000.0,12959.999999999998,19836.61721655293,22,1,21.218955587200753,2,887.1999123268108,6000.0,6000.0,16274.31547448522,50.08180810367048
2025-03-30,1,64265.603498415745,848.3851932613312,65113.98869167708,38669.54015101427,3216.327403530203,41885.86755454447,21407.774436518495,17340.29729357998,5700.891848738557,35,1,420.4320831114991,12,1428.5561388020985,6000.0,6000.0,42134.76771564178,-248.9001610973064
2025-03-31,1,63574.08142695085,2079.7910354839905,65653.87246243484,38198.91292946306,7853.972876356146,46052.885805819205,21491.359104041814,17408.00087427387,4619.1247493335595,45,1,1499.241050591243,24,2319.101613622092,6000.0,6000.0,46077.368885160126,-24.483079340920085
2025-04-01,1,64358.5475993809,3273.444175139583,67631.99177452049,38535.79454285568,9112.986079911503,47648.78062276718,21553.718071072657,17458.511637568852,3327.9338243500088,58,1,2757.198292798863,24,1610.0749157295124,6000.0,6000.000000000004,47648.78062276718,0.0
2025-04-02,1,64914.37894114538,3382.184686321509,68296.5636274669,38725.108406023064,13492.60260777851,52217.71101380157,21552.701055891455,17457.687855272085,3766.21502684752,58,1,1733.467480839583,19,563.7044622168343,6000.000000000004,6000.000000000002,52217.71101380157,0.0
2025-04-03,1,66585.40374115367,438.4262764480297,67023.8300176017,39702.07309732879,1717.4431814239479,41419.51627875273,21642.397934070963,17530.34232659748,7048.244143461546,29,1,65.6799001541558,3,1285.456329714435,6000.000000000002,6000.000000000001,41419.51627875274,-7.275957614183426e-12
2025-04-04,1,29783.94054113699,226.78884663113573,30010.729387768126,15094.941334713882,899.3625478285505,15994.303882542434,16000.000000000002,12960.000000000002,20539.92713776813,19,1,55.023011067246216,4,918.6198217688403,6000.000000000001,6000.0,15861.573049826251,132.7308327161827
2025-04-05,1,29979.21815704981,293.31155415750163,30272.529711207313,15179.303835435529,1146.9599902744928,16326.26382571002,15999.999999999989,12959.99999999999,15188.41472787398,27,1,44.66653389449732,6,1063.6923355319311,6000.0,6000.0,17219.166943122334,-892.9031174123138
