date,days,purchase_kwh,emergency_kwh,actual_grid_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,emergency_intervals,emergency_days,emergency_while_charging_kwh,emergency_while_charging_intervals,waste_while_discharging_kwh,soc_start_kwh,soc_end_kwh,no_storage_total_cost_yuan
2025-04-22,1,55771.67621884802,2420.9932538698727,58192.66947271789,33305.44709982303,8013.8269779180955,41319.27407774113,20075.018217517023,16260.764756188782,2225.4866947229884,71,1,1479.843817302089,28,627.0459104901017,5999.999999999997,6000.0000000000055,50677.76333240624
2025-04-23,1,56238.677621831244,2109.549767858557,58348.227389689804,33398.7870223964,7010.2281757196715,40409.01519811607,20063.070635052918,16251.08721439287,3136.3272523630894,64,1,1522.5624566315144,28,823.4362901509587,6000.0000000000055,6000.000000000002,49254.06395387973
2025-04-24,1,55442.22854739397,684.2513095726897,56126.47985696666,33010.89000903727,2635.7496849937065,35646.63969403098,20093.53770745733,16275.765543040437,5218.600992549767,47,1,214.84851162747037,12,1172.1808983306066,6000.000000000002,6000.000000000001,48730.936486688464
2025-04-25,1,26066.470733443308,771.2925620035479,26837.763295446857,12583.565761401389,3006.7700829352775,15590.335844336665,16000.000000000056,12960.0,21797.405645446797,33,1,303.670609488179,6,588.3185880369596,6000.000000000001,6000.000000000051,26094.202436180465
2025-04-26,1,25991.312441357837,1733.0125312212194,27724.324972579056,12535.857851836161,6917.996322377674,19453.854174213833,16000.000000000002,12960.000000000045,24614.13133924577,68,1,935.4116453179982,23,629.3253980006766,6000.000000000051,6000.000000000004,27468.63593438571
2025-04-27,1,52496.062394928835,2368.6047847536365,54864.667179682474,31257.501371118135,9766.197373143534,41023.69874426167,19437.579425676307,15744.439334797811,2598.055905470643,68,1,533.2171271896685,16,166.48360807155007,6000.000000000004,6000.000000000003,53776.73460804412
2025-04-28,1,52533.42408940131,8791.740838260677,61325.16492766199,31378.866051839977,33394.40933722667,64773.27538906665,19336.350081364548,15662.443565905287,1029.2910955360653,92,1,7033.708928390955,43,452.8677034675598,6000.000000000003,6000.0000000000055,57102.482003219426
2025-04-29,1,53572.51433052748,1486.289906192547,55058.80423672003,31971.431370157356,5808.326275147906,37779.75764530526,19276.76053065438,15614.176029830052,3963.006019229032,48,1,322.94041819976417,13,1313.4484153657431,6000.0000000000055,6000.0,50792.28566548546
2025-04-30,1,53255.61038195831,2651.258720823232,55906.86910278154,31834.87339205971,8780.952217969325,40615.82561002904,19041.72598782375,15423.798050137237,4032.0867317616953,53,1,2032.9303449363667,22,862.7830793798049,6000.0,6000.0000000000055,47860.95338862229
2025-05-01,1,52507.52009180242,4484.344245996657,56991.86433779908,31571.43129163348,20300.29364330118,51871.72493493466,19031.806270190562,15415.763078854361,2364.4423464628794,93,1,881.0607979442801,18,69.01340940443276,6000.0000000000055,5999.999999999996,64701.838218338016
2025-05-02,1,25682.1274416991,6785.127912605985,32467.255354305085,12409.52540455866,30159.080197455536,42568.6056020142,15999.999999999996,12959.999999999995,15136.935270971748,96,1,3370.470164234018,27,53.790442579850605,5999.999999999996,6000.0,40899.235990499306
2025-05-03,1,25908.82419606997,3858.1110366100966,29766.935232680065,12552.014192114844,17821.4812248791,30373.49541699394,16000.000000000002,12960.0,17859.76358268006,84,1,1305.6455926193446,27,114.80796734156706,6000.0,6000.0,37386.25422281764
2025-05-04,1,54480.105398809705,4350.19629940312,58830.301698212825,32353.70436203272,17662.31569748002,50016.02005951274,19384.74500357538,15701.643452896058,3412.532814200174,85,1,1908.57253947794,31,1315.642064563946,6000.0,5999.999999999996,59297.89703542856
2025-05-05,1,55000.8105268682,5898.8033683699,60899.6138952381,32578.715991042787,26980.419270565653,59559.13526160844,19073.41427875849,15449.465565794371,2199.6583822739813,95,1,1862.3518006100435,28,34.477112167954374,5999.999999999996,6000.0000000000055,66647.33531063127
2025-05-06,1,53987.25844882915,5284.919969563668,59272.17841839282,32150.22903150916,23655.947143199075,55806.176174708235,19142.113210693497,15505.11170066174,2765.094541694395,96,1,1668.6436605859806,21,53.277014328953044,6000.0000000000055,5999.999999999998,65255.88529575346
2025-05-07,1,54691.15209318758,5209.005675980867,59900.15776916844,32360.24620017805,23972.749738844523,56332.99593902258,19518.109609325045,15809.668783553285,1123.870993396686,103,1,1346.689036096855,25,110.05944097907593,5999.999999999998,6000.000000000002,66239.81328665795
2025-05-08,1,56061.67735522996,5188.728443067698,61250.40579829765,33750.7729205303,20194.665769002073,53945.43868953237,19879.679767341517,16102.540611546632,1646.75424250277,93,1,3266.556247314496,43,662.5096876525099,6000.000000000002,6000.000000000002,58695.10195907015
2025-05-09,1,26764.932269923673,1914.5292774914005,28679.461547415074,13249.77621161774,8977.961041361661,22227.7372529794,15999.999999999996,12960.000000000002,17140.075697415075,62,1,238.05074912770533,9,210.4083562216836,6000.000000000002,6000.000000000003,33065.59989633402
2025-05-10,1,26688.68002528434,3825.095286818755,30513.775312103095,13195.18774380194,16483.673799416418,29678.861543218358,16000.0,12960.000000000002,15352.730028769762,77,1,2114.752072042374,27,233.9911250117496,6000.000000000003,6000.000000000002,33563.99001804459
